user_id	commet-number	song-id
19033449	20	['229731', '229214', '229731', '229214', '229731', '229214', '229731', '229214', '229214', '251186', '156772', '295243', '295243', '295243', '33418870', '30053827', '342377', '394894', '394894', '394900']
72338478	16	['229731', '229731', '229731', '229731', '276712', '276712', '150958', '150958', '150958', '150958', '187393', '294823', '34045130', '317649', '5280101', '329914']
21693209	15	['33682619', '226176', '226176', '226176', '229731', '229731', '227805', '229748', '226176', '229731', '226176', '229731', '226176', '341229', '341229']
1590012931	15	['229731', '229731', '229731', '229731', '118940', '118940', '118940', '114442', '409931528', '329994', '329994', '329994', '329994', '329994', '329994']
111815987	10	['229731', '229214', '229731', '229214', '229731', '229214', '229731', '229214', '229214', '188838']
116447487	15	['574162792', '75284', '213526', '4875519', '562592476', '361456', '422094732', '459829388', '31721687', '32408228', '202315', '305415', '32317687', '559498267', '28700254']
422327649	13	['416631494', '131643', '131643', '366043', '366043', '366043', '566977321', '191525', '191525', '191525', '202315', '25971183', '406347535']
452863228	170	['63030', '555184161', '62341', '343123', '343133', '35470153', '62732', '206924', '63733', '68210', '68210', '4876686', '74576', '404182534', '31134185', '347772', '349630', '349630', '219323', '210570', '210570', '210602', '220178', '418257366', '28282365', '87835', '87835', '87835', '87835', '33418887', '29715219', '31721548', '477769300', '93417', '92222', '94747', '94747', '33252363', '103641', '103496', '103601', '103597', '103597', '103601', '116343', '116900', '116878', '116900', '353372', '353377', '353886', '354062', '130041', '120232', '116888', '116888', '354982', '355887', '28387130', '254896', '28636051', '143190', '260594', '260594', '260594', '260594', '364074', '5277996', '412951462', '149203', '150898', '150775', '150765', '150769', '150771', '150777', '150775', '150929', '150975', '150898', '150907', '150975', '153840', '152059', '27566747', '491943213', '167622', '167836', '170249', '170249', '169135', '193360', '94747', '193122', '94747', '94747', '94747', '193122', '193360', '94747', '185999', '196173', '196173', '410654868', '192146', '191811', '5239020', '191855', '191811', '192146', '191811', '192146', '5239020', '191889', '191950', '191811', '192072', '5239020', '192146', '394586', '295898', '297993', '297997', '297997', '298356', '306837', '32451499', '316089', '329932', '30780117', '368502', '368504', '29759799', '369192', '369199', '369235', '369248', '371039', '371040', '378647', '378676', '405377384', '382542', '382567', '405485555', '405485508', '453291918', '529824473', '477992725', '477992728', '33850214', '389491', '388101', '388121', '388149', '388151', '388087', '30780207', '30780090', '30780215', '557583312', '557579302', '411349273', '392091', '392008', '463888346', '363497', '29753488', '5282334', '473336047']
511880445	36	['67585', '67585', '25710158', '216921', '25710158', '88070', '87835', '88070', '87876', '88070', '87876', '87835', '88070', '87835', '87876', '87835', '88070', '87876', '88070', '88070', '277871', '277931', '277871', '366644', '366547', '399504025', '399504025', '399504025', '399504025', '29209597', '29209597', '191748', '191748', '191748', '191748', '190909']
443428336	16	['64616', '65621', '64616', '67487', '5285117', '67487', '67901', '5285117', '87835', '87835', '87835', '87835', '4871831', '4871831', '4871831', '151697']
915262	14	['92309', '115131', '231412', '25657379', '189688', '192245', '192250', '326740', '188175', '188175', '188175', '188175', '188175', '188175']
79837085	28	['188175', '186760', '26075328', '186843', '186894', '186879', '188175', '186760', '26075328', '186843', '186879', '186894', '187560', '186894', '188175', '186760', '186760', '26075328', '188175', '188175', '188175', '186843', '187387', '187530', '187700', '187560', '187583', '187700']
45463969	10	['549432030', '549437138', '549435378', '549432199', '188175', '188175', '188175', '188175', '188175', '188175']
1275272	12	['173248', '173248', '25729615', '29810137', '169806', '299370', '188175', '188175', '188175', '188175', '188175', '188175']
1418544866	35	['89288', '110740', '110740', '110740', '110740', '110740', '110740', '110740', '4871650', '4871749', '4871749', '4871709', '154100', '188447', '188447', '188447', '188717', '188717', '188175', '186707', '188447', '188717', '188175', '188175', '188447', '188447', '188717', '188447', '188447', '188717', '186707', '186707', '188175', '188175', '188175']
